CODGEO,pct_femmes_pop,pct_cadres_pop,age_median_pop
01001,49.13,17.44,42.0
01002,47.62,13.64,42.0
01004,51.84,11.76,42.0
01005,49.95,12.09,42.0
01006,47.37,8.33,42.0
01007,51.03,14.85,42.0
01008,49.85,11.63,42.0
01009,47.38,2.94,42.0
01010,49.75,7.83,42.0
01011,46.32,23.33,42.0
01012,51.18,3.57,42.0
01013,40.58,11.11,42.0
01014,50.85,6.83,42.0
01015,48.6,25.0,42.0
01016,51.75,10.56,42.0
01017,50.24,3.45,42.0
01019,38.46,0.0,42.0
01021,50.54,19.54,42.0
01022,52.41,5.66,42.0
01023,47.37,10.0,42.0
01024,50.18,11.78,42.0
01025,49.69,8.12,42.0
01026,53.31,5.8,42.0
01027,44.53,8.66,42.0
01028,51.1,7.74,42.0
01029,49.04,8.2,42.0
01030,51.99,10.18,42.0
01031,50.29,9.73,42.0
01032,51.84,13.07,42.0
01033,50.85,9.1,42.0
01034,52.51,8.73,42.0
01035,50.18,6.1,42.0
01036,49.7,11.32,42.0
01037,40.84,8.0,42.0
01038,49.41,11.25,42.0
01040,48.79,3.53,42.0
01041,50.6,8.99,42.0
01042,43.45,16.22,42.0
01043,51.04,24.6,42.0
01044,51.19,9.37,42.0
01045,47.99,25.81,42.0
01046,50.17,5.05,42.0
01047,47.75,9.73,42.0
01049,49.75,15.92,42.0
01050,49.86,5.41,42.0
01051,49.51,0.0,42.0
01052,50.29,29.03,42.0
01053,52.56,12.3,42.0
01054,48.66,21.43,42.0
01056,48.8,17.14,42.0
01057,48.69,4.3,42.0
01058,49.67,5.14,42.0
01060,51.08,14.58,42.0
01061,51.35,13.02,42.0
01062,49.99,16.3,42.0
01063,52.79,8.51,42.0
01064,50.56,7.27,42.0
01065,50.13,17.45,42.0
01066,47.19,0.0,42.0
01067,50.72,6.45,42.0
01068,50.45,10.0,42.0
01069,49.93,11.59,42.0
01071,51.72,20.9,42.0
01072,51.8,14.42,42.0
01073,49.82,17.35,42.0
01074,50.71,9.91,42.0
01075,48.78,13.12,42.0
01076,51.94,0.0,42.0
01077,48.65,20.0,42.0
01078,51.84,24.59,42.0
01079,53.25,6.18,42.0
01080,49.9,0.0,42.0
01081,47.7,3.41,42.0
01082,52.12,9.62,42.0
01083,48.51,6.73,42.0
01084,48.19,8.85,42.0
01085,49.62,10.26,42.0
01087,48.92,31.03,42.0
01088,48.24,18.45,42.0
01089,50.78,9.85,42.0
01090,50.85,8.91,42.0
01092,50.39,12.32,42.0
01093,53.06,9.86,42.0
01094,47.86,6.25,42.0
01095,50.12,8.22,42.0
01096,49.18,8.04,42.0
01098,50.36,4.81,42.0
01099,49.89,19.86,42.0
01100,48.09,16.67,42.0
01101,48.68,5.56,42.0
01102,46.62,4.21,42.0
01103,49.94,22.59,42.0
01104,50.46,3.7,42.0
01105,50.08,20.82,42.0
01106,49.16,6.67,42.0
01107,45.14,16.67,42.0
01108,51.21,3.92,42.0
01109,50.89,17.69,42.0
01110,51.92,0.0,42.0
01111,43.18,23.08,42.0
01112,48.41,1.9,42.0
01113,51.18,9.98,42.0
01114,51.51,8.47,42.0
01115,49.08,5.56,42.0
01116,50.34,7.01,42.0
01117,50.99,5.88,42.0
01118,48.88,3.54,42.0
01121,42.61,6.67,42.0
01123,49.1,8.11,42.0
01124,49.12,8.46,42.0
01125,49.14,5.87,42.0
01127,48.6,6.25,42.0
01128,50.36,17.86,42.0
01129,51.23,17.08,42.0
01130,50.56,11.73,42.0
01133,50.89,14.27,42.0
01134,50.92,15.03,42.0
01135,48.54,22.81,42.0
01136,49.26,11.13,42.0
01138,50.59,7.34,42.0
01139,50.49,5.13,42.0
01140,48.44,6.25,42.0
01141,51.06,2.78,42.0
01142,50.54,18.38,42.0
01143,53.27,35.22,42.0
01145,48.98,10.17,42.0
01146,51.59,10.62,42.0
01147,49.82,6.67,42.0
01148,51.21,10.38,42.0
01149,49.75,17.38,42.0
01150,48.13,4.0,42.0
01151,49.46,6.98,42.0
01152,48.45,15.0,42.0
01153,49.97,34.93,42.0
01155,47.89,7.69,42.0
01156,48.44,20.65,42.0
01157,50.59,23.77,42.0
01158,48.04,19.26,42.0
01159,50.2,9.35,42.0
01160,52.49,25.12,42.0
01162,52.31,40.0,42.0
01163,49.56,8.87,42.0
01165,48.91,16.55,42.0
01166,50.22,16.33,42.0
01167,52.22,13.85,42.0
01169,49.97,15.07,42.0
01170,48.73,6.19,42.0
01171,47.96,12.36,42.0
01173,50.35,18.32,42.0
01174,48.86,17.65,42.0
01175,50.99,13.34,42.0
01177,48.09,11.11,42.0
01179,50.67,6.77,42.0
01180,50.69,31.54,42.0
01181,51.6,17.86,42.0
01183,48.97,9.63,42.0
01184,49.3,12.16,42.0
01185,51.04,7.35,42.0
01187,49.04,4.33,42.0
01188,49.11,5.89,42.0
01189,48.04,7.74,42.0
01190,49.47,0.0,42.0
01191,48.77,10.53,42.0
01192,49.78,8.77,42.0
01193,53.36,0.0,42.0
01194,52.38,11.77,42.0
01195,53.26,17.92,42.0
01196,48.59,8.74,42.0
01197,52.19,23.08,42.0
01198,50.76,20.83,42.0
01199,50.7,11.82,42.0
01200,48.84,8.7,42.0
01202,51.92,12.41,42.0
01203,51.39,4.92,42.0
01204,48.0,11.84,42.0
01206,50.23,10.0,42.0
01207,48.21,9.09,42.0
01208,54.81,0.0,42.0
01209,50.0,14.04,42.0
01210,48.62,8.0,42.0
01211,50.13,15.27,42.0
01212,49.9,9.84,42.0
01213,51.02,13.79,42.0
01214,50.93,5.88,42.0
01215,47.83,4.93,42.0
01216,51.52,14.29,42.0
01219,50.0,7.14,42.0
01224,51.2,11.11,42.0
01225,49.5,33.33,42.0
01227,50.07,8.6,42.0
01228,49.9,3.25,42.0
01229,51.27,9.24,42.0
01230,49.09,3.03,42.0
01231,50.27,9.78,42.0
01232,50.75,6.53,42.0
01233,43.07,11.11,42.0
01234,52.66,10.53,42.0
01235,48.78,9.94,42.0
01236,49.54,10.52,42.0
01237,50.17,9.15,42.0
01238,50.15,20.21,42.0
01239,51.15,4.92,42.0
